year_month_day_timestamp,TOPyear,month_of_year,day_of_month,product_id,week,all_shop_number,sale_quantity
1483200000,2017,1,1,a11000145,sunday,2070,912
1483286400,2017,1,2,a11000145,monday,2070,742
1483372800,2017,1,3,a11000145,tuesday,2070,614
1483459200,2017,1,4,a11000145,wednesday,2070,587
1483545600,2017,1,5,a11000145,thursday,2070,512
1483632000,2017,1,6,a11000145,friday,2070,760
1483718400,2017,1,7,a11000145,saturday,2070,857
1483804800,2017,1,8,a11000145,sunday,2070,807
1483891200,2017,1,9,a11000145,monday,2070,701
1483977600,2017,1,10,a11000145,tuesday,2070,610
1484064000,2017,1,11,a11000145,wednesday,2070,650
1484150400,2017,1,12,a11000145,thursday,2070,774
1484236800,2017,1,13,a11000145,friday,2070,771
1484323200,2017,1,14,a11000145,saturday,2070,831
1484409600,2017,1,15,a11000145,sunday,2070,831
1484496000,2017,1,16,a11000145,monday,2070,723
1484582400,2017,1,17,a11000145,tuesday,2070,762
1484668800,2017,1,18,a11000145,wednesday,2070,769
1484755200,2017,1,19,a11000145,thursday,2070,868
1484841600,2017,1,20,a11000145,friday,2070,1036
1484928000,2017,1,21,a11000145,saturday,2070,1271
1485014400,2017,1,22,a11000145,sunday,2070,1172
1485100800,2017,1,23,a11000145,monday,2070,1235
1485187200,2017,1,24,a11000145,tuesday,2070,1328
1485273600,2017,1,25,a11000145,wednesday,2070,1671
1485360000,2017,1,26,a11000145,thursday,2070,1703
1485446400,2017,1,27,a11000145,friday,2070,713
1485532800,2017,1,28,a11000145,saturday,2070,384
1485619200,2017,1,29,a11000145,sunday,2070,355
1485705600,2017,1,30,a11000145,monday,2070,464
1485792000,2017,1,31,a11000145,tuesday,2070,460
1485878400,2017,2,1,a11000145,wednesday,2070,453
1485964800,2017,2,2,a11000145,thursday,2070,472
1486051200,2017,2,3,a11000145,friday,2070,756
1486137600,2017,2,4,a11000145,saturday,2070,744
1486224000,2017,2,5,a11000145,sunday,2070,740
1486310400,2017,2,6,a11000145,monday,2070,735
